,0
0,"100만 독자를 사로잡은 《달러구트 꿈 백화점》, 그 두 번째 이야기

어느덧 페니가 달러구트 꿈 백화점에서 일한 지도 1년이 넘었다.
재고가 부족한 꿈을 관리하고, 꿈값 창고에서 감정으로 가득 찬 병을 옮기고, 프런트의 수많은 눈꺼풀 저울을 관리하는 일에 능숙해진 페니는 자신감이 넘친다. 게다가 꿈 산업 종사자로 인정을 받아야만 드나들 수 있는 ‘컴퍼니 구역’에도 가게 된 페니는 기쁜 마음을 감출 수 없다.
하지만 그곳에서 페니를 기다리고 있는 건, 꿈에 대한 불만을 털어놓는 사람들로 가득한 ‘민원관리국’이었다. 설상가상 달러구트는 아주 심각한 민원 하나를 통째로 페니에게 맡기는데…
“왜 저에게서 꿈까지 뺏어가려고 하시나요?”라는 알쏭달쏭한 민원을 남기고 발길을 끊어버린 792번 단골손님.
페니는 과연 달러구트 꿈 백화점의 오랜 단골손님을 되찾을 수 있을까?"
1,"▶ 『달러구트 꿈 백화점. 2』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
* window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
2,
3,"프롤로그 - 달러구트의 다락방
1장 - 페니의 첫 번째 연봉협상
2장 - 민원관리국
3장 - 와와 슬립랜드와 꿈 일기를 쓰는 남자
4장 - 오트라만이 만들 수 있는 꿈
5장 - 테스트 센터의 촉각 코너
6장 - 비수기의 산타클로스
7장 - 전하지 못한 초대장
8장 - 녹틸루카 세탁소
9장 - 초대형 파자마 파티
에필로그1 - 올해의 꿈 시상식
에필로그2 - 막심과 드림캐처"
4,"사실 최근에 달러구트의 모든 관심은 가을에 진행할 어떤 ‘커다란 행사’에 쏠려 있었다. 그건 아직 가게의 직원들조차 모르는 달러구트의 야심 찬 계획이었다.
다행히 관련 업체들로부터 긍정적인 회신이 속속 도착하고 있었다. 이대로라면 몇 달 뒤에는 직원들에게도 두근거리는 소식을 전할 수 있을 것이다.
그는 베드타운 가구점에서 온 마지막 편지까지 읽고 나서 뻐근한 허리를 쭉 펴며 일어났다. 침대 위에 마구잡이로 던져 놓은 편지들을 지금 당장 정리할 엄두가 나지 않았다.
“언제쯤 정리가 쉬워질는지…. 주말에는 대청소를 해야겠군.”
... 더보기"
5,"1년 내내 베스트셀러 1위, 독자들이 뽑은 ‘최고의 힐링 판타지’
잠들어야만 입장 가능한 ‘달러구트 꿈 백화점’으로 초대합니다.

첫 소설 《달러구트 꿈 백화점 : 주문하신 꿈은 매진입니다》(팩토리나인, 2020)로 그야말로 판타지 돌풍을 일으킨 이미예 작가가 후속편 《달러구트 꿈 백화점 2 : 단골손님을 찾습니다》를 야심차게 선보인다.
《달러구트 꿈 백화점 : 주문하신 꿈은 매진입니다》는 2021년 교보문고와 예스24가 발표한 상반기 베스트셀러 1위, 1년 내내 베스트셀러 TOP 10에 오르며 출판계에 새로운 한 획을 ... 더보기"
6,"여기는 잠들어야만 입장할 수 있는 ‘달러구트 꿈 백화점’입니다. 잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 ‘달러구트의 꿈 백화점’이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다.
범상치 않은 혈통의 주인장 ‘달러구트’, 그리고 그의 최측근에서 일하게 된 신참 직원 ‘페니’, 꿈을 만드는 제작자 ‘아가넵 코코’, 그리고 베일에 둘러싸인 비고 마이어스…등이 등장한다.
《달러구트 꿈 백화점》은 ‘무의식에서만 존재하는 꿈을 정말 사고 팔 수 있을까?’라는 기발한 질문에 답을 찾아가며, 꿈을 만드는 사람, 파는 사람, 사는 사람의 비밀스런 에피소드를 담고 있는 판타지 소설이다. 텀블벅 펀딩 1812% 달성, 전자책 출간 즉시 베스트셀러 1위를 3주간 기록하며 수많은 독자들의 요청으로 종이책으로 출간하게 되었다."
7,"▶ 『달러구트 꿈 백화점』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
8,
9,"작가의 말
프롤로그. 3번째 제자의 유서 깊은 가게
1. 주문하신 꿈은 매진입니다
2. 한밤의 연애지침서
3. 미래를 보여 드립니다.
4. 환불 요청 대소동
5. 노 쇼는 사양합니다.
6. 이 달의 베스트셀러
7. 비틀즈와 벤젠고리
8. ‘타인의 삶(체험판)’ 출시
9. 예약하신 꿈이 도착하였습니다
에필로그 1. 비고 마이어스의 면접
에필로그 2. 스피도의 완벽한 하루"
