,영화제목,별점,감상평
0,더블 타겟,7,이런 서스펜스물 좋아~
1,코다,10,가족들이 모두 귀머거리인 설정인 참신하고 귀로는 못듣지만 마음으로 딸의 노래를 듣는 점!..
2,샹치와 텐 링즈의 전설,8,지루하지 않게 액션은 볼만했어요
3,샹치와 텐 링즈의 전설,6,볼만함
4,플립,10,웃으면서 볼수있는 귀여운 영화에요. 결코 가볍지만도 않고...저는 참 좋았어요~ 가족에 대해 생각할수도 있고요
5,샹치와 텐 링즈의 전설,2,마블영화가 아니고 무슨 중국 무술 영화 보는 느낌;진짜 역대 마블영화 중 최악이었음
6,23 아이덴티티,1,지루함 그 자체...비추
7,여고괴담 여섯번째 이야기 : 모교,1,..뭐지? 이게뭐지?
8,프리즌,10,재밌는데요 김래원연기가 볼만
9,콜 미 바이 유어 네임,10,
10,샹치와 텐 링즈의 전설,8,화가 많은 평이 많은데 그 정돈 아니고 그냥 킬링타임용 마블 팬들은 보는게 좋다고 봄앞으로 좋으나 싫으나 쭉 보일테니까
11,샹치와 텐 링즈의 전설,7,"개봉 전 까지만해도 별 기대 없다가 해외평때문에 기대 만빵하고 갔는데, 중반까지는 신선하다 느꼈지만, 후반부엔 스토리 개연성이 떨어져 집중도가 낮았습니다. 액션은 만족스러웠고 스토리 개연성에서 별점을 깎아먹네요."
12,디스 아메리카노,10,"별5점주면 알바라고 할까봐 한개뺄까 말까 고민하다 적게되네요...이게뭐라고,,,소소하게 디텔이하게 잘만들었고,의외로 발견한 보석같네요감독,배우 다 잘되었으면 좋겠습니다"
13,건파우더 밀크셰이크,10,진짜 재밌었다…영상미부터 스토리까지 너무너무 좋았음 도서관 나올때마다 입벌리고 봄..다들 꼭 보세요
14,모가디슈,10,간만에 영화관에서 좋은영화봤네요정만식 배우님 응원합니다♡
15,벤자민 버튼의 시간은 거꾸로 간다,9,잘자 데이지 잘자 벤자민
16,달마야 놀자,10,조아따 다시다시봐도 재밌고 교훈이있는 영화임
17,아웃포스트,10,간만에 재미있게본 영화
18,스틸 앨리스,10,
19,샹치와 텐 링즈의 전설,10,평점7  별3개를 보고 기대없이 가서너무 재밌게 봤음 샹치에대한 서사를 보니 앞으로 어벤져스에서의 활약이 기대되고 젊은날 아름다웠던 양조위와 양자경을 마블에서 보게되다니 반갑고도 나이듬이 너무 서운함양조위에 의한 영화샹치는 다음기회에~~
20,샹치와 텐 링즈의 전설,6,"동양미의 정점을 뽑아낸 영상미와 남주의 액션신은 인정. 피지컬을 초월한 스피디한 무술실력은 기대 이상이었음. 하지만 그럼에도 불구하고 옆집 아저씨같은 외모가 몰입감을 떨어뜨리는건 어쩔수 없었고, 양조위의 호연을 무색하게 만든 무협에서 SF로 장르가 급전개되는 조잡한 스토리, 세계관을 어떻게든 끼워넣으려는 벤 킹슬리의 억지스러운 출연 등 단점이 많았음. 그래도 2시간 동안 꽤 볼만하다 생각했는데.... 마지막 5분에 그 여자랑 러브라인으로 끝나는거 보고 충격과 공포에 휩싸여서 한동안 자리를 뜨지 못했다. 하아... 나 진짜 중간까진 그래도 연기는 잘하네 감초 역할 톡톡히 한다.. 이러면서 봤는데... 외모차별하면 안되는거 알겠어. 알겠는데. 이건 좀 아니잖아... 외국인들도 우리랑 보는눈 비슷하다며... 이정도면 맥이는거 아니냐...? 아오..."
21,라빠르망,7,이게 무슨 개차반 스토리냐??
22,블레이드 러너 2049,10,10점 줄만함. 1편 본 사람들이라면 더욱 공감할듯. 마음 한 켠을 찌르는 SF.
23,스파이더위크가의 비밀,10,
24,건파우더 밀크셰이크,10,"킬링타임용 액션,킬러 영화. 약간 고어틱한 장면도 있었지만, 주차장 추격씬이 아주 좋았음. 긴박하면서 착실한 호흡. 둘이 하나가 된 운전은 완벽했다.스토리 라인이 매끄럽다고는 못하겠고, 딱 내가 기대한 수준. 배우들의 연기가 좋았다. 연출의 어색함을 덮어주는 느낌. 오랜만에 본 배우들도 반갑고.."
25,샹치와 텐 링즈의 전설,1,마블 영화 라고 봤는데. 그냥 무협 중국 영화네... 이런
26,더 스파이,10,
27,샹치와 텐 링즈의 전설,10,
28,샹치와 텐 링즈의 전설,2,역대 최악 마블 영화 ㅎㅎㅎ
29,코다,10,루비가 노래 부를 때마다 울었다
30,아내를 죽였다,2,킬링타임용으로도 부족하다는 느낌의 엉성한 연출과 스토리..
31,검사외전,10,황정민 답고 강동원은 의외로 능글 맞은 연기도 잘함
32,새콤달콤,10,장기용님의 능청스러운 연기 넘 좋았어요~마지막 반전이 신선했어요
33,아수라,8,나도 첨엔 망한영한줄 알았는데 사촌동생이 너무 저평가라고 해서 봤는데 생각보다 재밌었음 정우성에 많이 몰입할수있었고 잘짜여있음 성모가 급변한 이유가 없는거랑 욕많은거빼면 잘만든듯
34,샹치와 텐 링즈의 전설,1,아ㅠ 정말 홀리몰리마블 빠순이라 봤지만 이건 마블을 모욕했다별점 0주고 싶은데 안되네요
35,굿 윌 헌팅,10,맷 데이먼 형 나 죽어 ~~~!
36,샹치와 텐 링즈의 전설,5,디워2021 중국편ㅋㅋㅋㅋ근데 개연성은 디워보다 더 떨어지는 듯
37,모가디슈,10,울면서 봤는데 현실이 더 영화같더라고요 광광
